Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AR204005311562907648,"WORKING ASSETS FUNDING SERVICE, INC.",EIN ID 94-2987585,US,US-Federal,17,900,800,61250,1525,5800,20000,6000,255000,3400,3675,8250,700
AR204060974339063808,CAL FOR NC,FEC ID C00709410,US,US-Federal,102,19300,17650,1380500,34500,131400,443000,132000,5947500,75400,84375,186750,14800
AR204473978394247168,MCKINLEY FOR CONGRESS,FEC ID C00473132,US,US-Federal,15,3600,3100,258250,6050,22900,79000,23000,1005000,13300,14400,32250,2750
AR204534863850635264,LAKE TRAVIS FIRE FIGHTERS PAC,Registered in Texas 70748,US,US-Federal,12,0,0,1750,50,200,1000,0,7500,100,150,0,0
AR204688932917477376,Politieke Partij Democraten 66,,"BE, DE, ES, EU, NL",EU-Parliament,149,15600,13950,1089250,27300,103700,360000,104500,4552500,60100,66450,150000,12250
AR204853309905829888,MN ACTION NETWORK IE PAC,EIN ID 46-4824096,US,US-Federal,1,24600,21600,1800000,42250,160600,558000,161000,6967500,93200,100725,223500,19000
AR204915982068613120,COMMITTEE TO ELECT ROB DAVIDSON,FEC ID C00638254,US,US-Federal,15,14400,12550,1052250,24525,93100,323000,93500,4050000,54000,58425,129750,11050
AR205034454446505984,FRANKEN FOR IOWA,EIN ID 84-2820098,US,US-Federal,3,300,300,22250,550,2100,7000,2000,90000,1200,1350,3000,250
AR205531158824353792,GILLIBRAND 2020,FEC ID C00694018,US,US-Federal,164,512200,455400,35751000,890775,3374200,11690000,3399500,147007500,1953400,2156850,4811250,403300
AR205658702173175808,TIM RYAN FOR AMERICA,EIN ID 83-4185680,US,US-Federal,102,109700,97650,7626500,191000,724300,2507000,729000,31560000,418800,463350,1032000,85700
AR206097132434751488,KKW Koalicja Europejska PO PSL SLD .N Zieloni,,"EU, PL",EU-Parliament,31,5500,4900,386000,9625,36500,127000,36500,1597500,21200,23400,53250,4300
AR206303153426006016,"MOTIFF PRODUCTIONS, LLC",EIN ID 20-5793204,US,US-Federal,1,100,100,6750,175,600,2000,500,30000,400,450,750,50
AR206312361835888640,GIBBS FOR CONGRESS,FEC ID C00466516,US,US-Federal,23,13300,11450,954000,22425,85200,296000,85500,3720000,49300,53325,120750,10250
AR206312774152749056,FRIENDS FOR FOXX,EIN ID 47-3999622,US,US-Federal,2,20800,18850,1483500,36850,140200,474000,141000,6345000,80300,90000,199500,15900
AR206716707237003264,TERESA TOMLINSON FOR SENATE,FEC ID C00701383,US,US-Federal,39,5000,4500,354250,8800,33500,115000,33500,1500000,19300,21450,48000,3850
AR207068276079984640,Bündnis90/ Die Grünen,,"DE, EU",EU-Parliament,784,205600,184350,14440250,360575,1368500,4752000,1376500,60247500,794100,876750,1981500,162050
AR20707789680672768,VLASŤ,,"AT, EU, PL, SK",EU-Parliament,187,152700,139600,10910500,273025,1040000,3504000,1043000,46935000,596000,667575,1473750,117500
AR207210250518921216,MOOLENAAR FOR CONGRESS,FEC ID C00561530,US,US-Federal,21,12900,11600,918000,22725,86400,296000,87000,3862500,49800,55500,123000,9850
AR207491588056678400,FRIENDS OF JOHN DELANEY,FEC ID C00508416,US,US-Federal,130,206100,183550,14350000,359050,1359900,4714000,1370500,59535000,787600,869700,1946250,163500
AR208001211696152576,AMERICA'S LIBERTY PAC,FEC ID C00532572,US,US-Federal,93,1100,1000,79750,1925,7300,25000,7500,315000,4200,4575,10500,850
AR208021690100219904,Westminster North Conservative Association,,"EU, GB",EU-Parliament,7,100,50,5250,125,500,2000,500,22500,300,300,750,50
AR209018259951845376,"GRAPESEED MEDIA, LLC",EIN ID 46-4946355,US,US-Federal,2,300,300,24500,575,2200,8000,2000,97500,1300,1350,3000,250
AR209204077416939520,DOUG LAMALFA COMMITTEE,FEC ID C00509422,US,US-Federal,1,2500,2200,185750,4275,16200,56000,16500,705000,9400,10200,22500,1900
AR210020602239516672,MICHELE LEAL CAMPAIGN,EIN ID 84-2947768,US,US-Federal,4,500,400,32500,800,3100,11000,3000,135000,1800,1950,4500,350
AR210209031044726784,ELIZABETH FOR MA INC,FEC ID C00500843,US,US-Federal,204,391700,339600,28371750,664150,2520300,8752000,2533000,109815000,1459500,1581375,3519750,300850
AR210512496253992960,VOTEVETS.ORG ACTION FUND,FEC ID C90010620,US,US-Federal,5,1700,1500,118250,2950,11200,39000,11500,495000,6500,7125,15750,1350
AR21057846695165952,"MARTY FOR CONGRESS, INC.",FEC ID C00658583,US,US-Federal,31,1200,1000,84750,1975,7500,26000,7500,330000,4300,4650,10500,900
AR210631380948746240,STATE SOLUTIONS INC,EIN ID 45-3092150,US,US-Federal,43,94100,85000,6698500,166275,632300,2175000,635000,28222500,364100,404850,907500,73300
AR210958348219056128,Kansallinen Kokoomus r.p.,,"EE, ES, EU, FI, FR, SE",EU-Parliament,205,105700,94100,7336250,184075,699000,2419000,702500,30375000,404000,447750,993750,81500
AR211092351198691328,FRIENDS OF TOM BARRETT,EIN ID 39-1709527,US,US-Federal,6,8100,7500,581750,14700,56000,187000,56000,2520000,32100,35925,79500,6250
AR211214809306234880,GRISSOM FOR U.S. SENATE,EIN ID 84-2249362,US,US-Federal,33,4200,3750,295000,7375,27900,97000,28000,1237500,16300,17850,40500,3400
AR211220306864373760,WAMPLER FOR DELEGATE,EIN ID 83-3931465,US,US-Federal,6,400,350,27000,675,2600,9000,2500,112500,1500,1650,3750,300
AR211334930951569408,STIVERS FOR CONGRESS,FEC ID C00441352,US,US-Federal,31,118700,102800,8531500,201075,763200,2648000,766500,33307500,442400,478500,1069500,91300
AR21167248102129664,COALICION ELECTORAL UNIDAS PODEMOS,,"ES, EU, IT",EU-Parliament,251,150500,134300,10496000,262700,997500,3454000,1003000,43125000,575800,639075,1413000,116150
AR212051812532879360,MANCHIN FOR WEST VIRGINIA,FEC ID C00486563,US,US-Federal,28,36000,31000,2628000,60650,230300,797000,231500,10042500,133300,144525,321750,27500
AR212218251105533952,"PROGRESSIVE SOURCE COMMUNICATIONS, LLC",EIN ID 20-8218018,US,US-Federal,1,0,0,0,0,0,0,0,0,0,0,0,0
AR212460830858412032,ROSKAM FOR CONGRESS COMMITTEE,FEC ID C00410969,US,US-Federal,232,42200,36500,2956250,71375,270400,941000,272000,11805000,157300,169875,378000,32350
AR21269090366652416,KANSANS FOR CLIFFORD,EIN ID 84-3006615,US,US-Federal,1,100,50,5500,125,500,2000,500,22500,300,300,750,50
AR212707121463033856,JOHN ROSE FOR TENNESSEE,FEC ID C00652743,US,US-Federal,23,16400,14100,1122250,27575,104200,363000,105000,4560000,60700,65625,145500,12450
AR213269109343780864,Partido Popular,,"ES, EU",EU-Parliament,13,9200,8400,659250,16400,62300,214000,62500,2797500,35800,39975,90000,7250
AR213586730765254656,PERRY GERSHON FOR CONGRESS,FEC ID C00650457,US,US-Federal,53,35800,31200,2608000,60975,231500,805000,232500,10095000,134400,145350,323250,27500
AR213755093483257856,SEAN FOR CONGRESS,FEC ID C00719369,US,US-Federal,40,1200,1150,89000,2200,8400,29000,8500,375000,4800,5400,12000,950
AR21394297253265408,MNI TARGETED MEDIA INC.,EIN ID 06-1478215,US,US-Federal,6,63000,54650,4609500,106875,405800,1409000,407500,17677500,235000,254775,565500,48350
AR214041653701246976,Liberal Democrats,,"CZ, EU, GB",EU-Parliament,178,95900,86350,6805250,168875,642200,2204000,645000,28522500,370000,412650,904500,72700
AR214129889509376000,NATIONAL FEDERATION OF INDEPENDENT BUSINESS FEDERAL POLITICAL  ACTION COMMITTEE,FEC ID C00101105,US,US-Federal,16,47600,41700,3484750,81550,309900,1077000,311000,13477500,179800,194475,432000,36800
AR214800866480226304,Klassiskt Liberala Partiet,,"EU, SE",EU-Parliament,14,2100,1850,146250,3650,13900,48000,14000,607500,8000,8925,20250,1650
AR214957959204044800,Promijenimo Hrvatsku,,"EU, HR",EU-Parliament,38,1100,950,76500,1900,7200,25000,7000,322500,4200,4650,10500,800
AR215725418320232448,8BUSINESS Sp. z o.o.,,"EU, PL",EU-Parliament,118,400,350,27250,675,2600,9000,2500,112500,1500,1650,3750,300
AR215765413055692800,JOAN PERRY FOR CONGRESS,FEC ID C00698530,US,US-Federal,20,2500,2250,173750,4375,16600,57000,16500,720000,9500,10575,24000,2000
AR215791801334759424,JUDGE LISA NEUBAUER FOR JUSTICE,EIN ID 83-0964986,US,US-Federal,2,5200,4600,356750,9000,34100,118000,34500,1470000,19800,21900,48000,3950
AR216045238764961792,"PERFORMANCE MEDIA MARKETING, INC",EIN ID 46-4449393,US,US-Federal,90,5200,4500,378750,8800,33400,116000,33500,1455000,19400,21000,46500,3950
